USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
tanu              5467  23.2 11.7 439615520 984320   ??  Ss    3:33PM  14:08.06 /System/Library/Frameworks/Virtualization.framework/Versions/A/XPCServices/com.apple.Virtualization.VirtualMachine.xpc/Contents/MacOS/com.apple.Virtualization.VirtualMachine
tanu              7069   8.6  4.0 1953268288 338224   ??  S    10:50AM   2:11.04 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/tanu/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --max-active-webgl-contexts=32 --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1788485273752992 --launch-time-ticks=13965013493 --shared-files --field-trial-handle=1718379636,r,8224580139564391196,15605330775160108997,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5021548839340329152,6410795907639236652,4 --trace-process-track-uuid=3190708990060038890 --vscode-window-config=vscode:0215890c-b801-4613-9079-f881a0873cb1 --seatbelt-client=64
_windowserver      599   3.1  0.6 436587088  48992   ??  Ss   Thu12AM  66:33.30 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
tanu              7063   2.1  1.0 486309904  83040   ??  S    10:50AM   1:07.62 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=gpu-process --user-data-dir=/Users/tanu/Library/Application Support/Code --gpu-preferences=SAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAAwAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=1718379636,r,8224580139564391196,15605330775160108997,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5021548839340329152,6410795907639236652,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=33
tanu              7027   1.1  1.7 1951643136 143120   ??  S    10:50AM   0:37.52 /Applications/Visual Studio Code.app/Contents/MacOS/Code
tanu             11770   1.1  0.0 435299520   2000 s004  S+   11:08AM   0:00.01 /bin/bash ./system_info.sh
_driverkit         679   1.0  0.4 435302624  32864   ??  Ss   Thu12AM   4:05.38 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000be7 com.apple.DriverKit-AppleBCMWLAN
_mdnsresponder     632   0.9  0.1 435355632   9664   ??  Ss   Thu12AM   1:06.95 /usr/sbin/mDNSResponder
tanu              8927   0.6  0.7 1951223392  56416   ??  S    10:53AM   0:04.04 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/tanu/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8224580139564391196,15605330775160108997,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5021548839340329152,6410795907639236652,4 --trace-process-track-uuid=3190708997556373682
root               631   0.5  0.2 435395920  15648   ??  Ss   Thu12AM   2:47.60 /usr/libexec/airportd
tanu              7049   0.3  0.1 435520320   7808   ??  S    10:50AM   0:01.63 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
tanu              2696   0.3  1.8 436467808 147536   ??  S     1:47PM   4:36.96 /Applications/WhatsApp.app/Contents/MacOS/WhatsApp
root               590   0.2  0.1 435341536   6592   ??  Ss   Thu12AM   1:15.05 /usr/libexec/corebrightnessd --launchd
tanu              8862   0.2  1.6 1953310144 131184   ??  S    10:50AM   0:15.46 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --user-data-dir=/Users/tanu/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8224580139564391196,15605330775160108997,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5021548839340329152,6410795907639236652,4 --trace-process-track-uuid=3190708996619331833
root               655   0.2  0.1 435359776   9760   ??  Ss   Thu12AM   1:05.30 /usr/libexec/syspolicyd
tanu              8886   0.1  0.1 435370352   7312   ??  Ss   10:51AM   0:00.68 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
root               526   0.1  0.1 435313232   4544   ??  Ss   Thu12AM   0:46.89 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
root               565   0.1  0.1 435342656   5760   ??  Ss   Thu12AM   0:18.23 /System/Library/CoreServices/launchservicesd
root               563   0.1  0.1 435345936   8240   ??  Ss   Thu12AM   0:33.88 /usr/libexec/opendirectoryd
tanu               928   0.1  0.1 435308880   4688   ??  S    Thu12AM   0:31.71 /usr/sbin/cfprefsd agent
root                 1   0.1  0.1 435245168  10080   ??  Ss   Thu12AM   1:21.89 /sbin/launchd
_networkd        10813   0.0  0.1 435342368  10480   ??  S    11:02AM   0:00.16 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
_locationd       10812   0.0  0.1 435342368  10976   ??  S    11:02AM   0:00.32 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
_cmiodalassistants 10815   0.0  0.1 435351856   6912   ??  S    11:02AM   0:00.08 /usr/libexec/secinitd
root             10814   0.0  0.1 435351952   7008   ??  Ss   11:02AM   0:00.09 /usr/libexec/secinitd
root             10810   0.0  0.1 435341984  10416   ??  S    11:02AM   0:00.14 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
_cmiodalassistants 10811   0.0  0.1 435342528  10432   ??  S    11:02AM   0:00.13 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
tanu             10809   0.0  0.1 435342496  10560   ??  S    11:02AM   0:00.55 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
tanu             10808   0.0  0.1 435344464   7040   ??  Ss   11:02AM   0:00.45 /System/Library/PrivateFrameworks/TrialServer.framework/Versions/A/XPCServices/TrialArchivingService.xpc/Contents/MacOS/TrialArchivingService
root             10807   0.0  0.1 435339984   4816   ??  Ss   11:02AM   0:00.13 /System/Library/CoreServices/osanalyticshelper server-init
tanu             10806   0.0  0.1 435340800  10944   ??  S    11:02AM   0:00.30 /usr/libexec/triald
root             10803   0.0  0.1 435348672  11264   ??  Ss   11:01AM   0:00.35 /usr/libexec/wifip2pd
tanu             10799   0.0  0.2 435352272  12720   ??  S    11:01AM   0:00.63 /usr/libexec/tipsd
root             10798   0.0  0.1 435444848   5056   ??  S    11:01AM   0:00.10 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
tanu             10797   0.0  0.1 435444672   5120   ??  S    11:01AM   0:00.20 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
tanu             10796   0.0  0.1 435351328   6192   ??  S    11:01AM   0:00.04 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
tanu             10795   0.0  0.1 435341120   6288   ??  S    11:01AM   0:00.10 /System/Library/PrivateFrameworks/CoreRecents.framework/Versions/A/Support/recentsd
root             10793   0.0  0.0 435305392   3040   ??  Ss   11:01AM   0:00.03 /System/Library/CoreServices/TimeMachine/backupd-helper -launchd
tanu             10792   0.0  0.1 435357904  10624   ??  S    11:01AM   0:02.99 /usr/libexec/replayd
tanu             10790   0.0  0.1 435352272  11984   ??  Ss   11:01AM   0:00.08 /System/Library/ExtensionKit/Extensions/IFTranscriptSELFIngestor.appex/Contents/MacOS/IFTranscriptSELFIngestor -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5saWdodGhvdXNlLklGVHJhbnNjcmlwdFNFTEZJbmdlc3RvciIsInR5cGUiOjEsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
tanu             10789   0.0  0.1 435352352  12240   ??  Ss   11:01AM   0:00.11 /System/Library/ExtensionKit/Extensions/BiomeSELFIngestor.appex/Contents/MacOS/BiomeSELFIngestor -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5saWdodGhvdXNlLkJpb21lU0VMRkluZ2VzdG9yIiwidHlwZSI6MSwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
tanu             10788   0.0  0.1 435352992  11488   ??  Ss   11:01AM   0:00.07 /System/Library/ExtensionKit/Extensions/IFTelemetrySELFIngestor.appex/Contents/MacOS/IFTelemetrySELFIngestor -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5saWdodGhvdXNlLklGVGVsZW1ldHJ5U0VMRkluZ2VzdG9yIiwidHlwZSI6MSwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
tanu             10787   0.0  0.1 435352400  12528   ??  Ss   11:01AM   0:00.12 /System/Library/ExtensionKit/Extensions/GMSSELFIngestor.appex/Contents/MacOS/GMSSELFIngestor -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuc2lyaS5HTVNTRUxGSW5nZXN0b3IiLCJ0eXBlIjoxfQ==
tanu             10786   0.0  0.2 435351440  14400   ??  Ss   11:01AM   0:00.43 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
tanu             10785   0.0  0.2 435351248  16528   ??  Ss   11:01AM   0:00.28 /System/Library/PrivateFrameworks/SiriAnalytics.framework/Versions/A/XPCServices/SAExtensionOrchestrator.xpc/Contents/MacOS/SAExtensionOrchestrator
tanu             10784   0.0  0.2 435368800  12784   ??  S    11:01AM   0:00.29 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
tanu             10781   0.0  0.9 1949115248  71408   ??  S    11:01AM   0:00.11 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=254 --launch-time-ticks=14592736800 --shared-files --metrics-shmem-handle=1752395122,r,186660814824157778,8411033093319354631,2097152 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709224320501140 --seatbelt-client=70
tanu             10779   0.0  0.1 435301488   5712   ??  S    11:01AM   0:00.06 /usr/libexec/feedbackd
root             10769   0.0  0.1 435340576   4976   ??  Ss   11:00AM   0:00.09 /usr/libexec/powerexperienced
tanu             10198   0.0  0.0 435309472   1568 s003  Ss+  11:00AM   0:00.23 /bin/zsh -il
tanu             10193   0.0  0.1 435362640   9456   ??  S    11:00AM   0:00.25 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
tanu             10152   0.0  0.0 435306384   4016   ??  S    11:00AM   0:00.13 /usr/libexec/assessmentagent
tanu             10151   0.0  0.1 435347120   8672   ??  S    11:00AM   0:00.64 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
